Velocidad,Distancia,Salto
-10,700,0
-3,697,0
-3,694,0
-3,691,0
-3,688,0
-3,685,0
-3,682,0
-3,679,0
-3,676,0
-3,673,0
-3,670,0
-3,667,0
-3,664,0
-3,661,0
-3,658,0
-3,655,1
-3,652,1
-3,649,1
-3,646,1
-3,643,1
-3,640,1
-3,637,1
-3,634,1
-3,631,1
-3,628,1
-3,625,1
-3,622,1
-3,619,1
-3,616,1
-3,613,1
-3,610,1
-3,607,1
-3,604,1
-3,601,1
-3,598,1
-3,595,1
-3,592,1
-3,589,1
-3,586,1
-3,583,1
-3,580,1
-3,577,1
-3,574,1
-3,571,1
-3,568,1
-3,565,1
-3,562,0
-3,559,0
-3,556,0
-3,553,1
-3,550,1
-3,547,1
-3,544,1
-3,541,1
-3,538,1
-3,535,1
-3,532,1
-3,529,1
-3,526,1
-3,523,1
-3,520,1
-3,517,1
-3,514,1
-3,511,1
-3,508,1
-3,505,1
-3,502,1
-3,499,1
-3,496,1
-3,493,1
-3,490,1
-3,487,1
-3,484,1
-3,481,1
-3,478,1
-3,475,1
-3,472,1
-3,469,1
-3,466,1
-3,463,1
-3,460,0
-3,457,0
-3,454,0
-3,451,0
-3,448,0
-3,445,0
-3,442,0
-3,439,0
-3,436,0
-3,433,0
-3,430,0
-3,427,0
-3,424,0
-3,421,0
-3,418,0
-3,415,0
-3,412,0
-3,409,0
-3,406,0
-3,403,0
-3,400,0
-3,397,0
-3,394,0
-3,391,0
-3,388,0
-3,385,0
-3,382,0
-3,379,0
-3,376,0
-3,373,0
-3,370,0
-3,367,0
-3,364,0
-3,361,0
-3,358,0
-3,355,0
-3,352,0
-3,349,0
-3,346,0
-3,343,0
-3,340,0
-3,337,1
-3,334,1
-3,331,1
-3,328,1
-3,325,1
-3,322,1
-3,319,1
-3,316,1
-3,313,1
-3,310,1
-3,307,1
-3,304,1
-3,301,1
-3,298,1
-3,295,1
-3,292,1
-3,289,1
-3,286,1
-3,283,1
-3,280,1
-3,277,1
-3,274,1
-3,271,1
-3,268,1
-3,265,1
-3,262,1
-3,259,1
-3,256,1
-3,253,1
-3,250,1
-3,247,1
-3,244,0
-3,241,0
-3,238,0
-3,235,0
-3,232,0
-3,229,0
-3,226,1
-3,223,1
-3,220,1
-3,217,1
-3,214,1
-3,211,1
-3,208,1
-3,205,1
-3,202,1
-3,199,1
-3,196,1
-3,193,1
-3,190,1
-3,187,1
-3,184,1
-3,181,1
-3,178,1
-3,175,1
-3,172,1
-3,169,1
-3,166,1
-3,163,1
-3,160,1
-3,157,1
-3,154,1
-3,151,1
-3,148,1
-3,145,1
-3,142,1
-3,139,1
-3,136,1
-3,133,0
-3,130,0
-3,127,0
-3,124,0
-3,121,0
-3,118,0
-3,115,0
-3,112,0
-3,109,0
-3,106,0
-3,103,0
-3,100,0
-3,97,0
-3,94,0
-3,91,0
-3,88,0
-3,85,0
-3,82,0
-3,79,0
-3,76,0
-3,73,0
-3,70,0
-3,67,0
-3,64,1
-3,61,1
-3,58,1
-3,55,1
-3,52,1
-3,49,1
-3,46,1
-3,43,1
-3,40,1
-3,37,1
-3,34,1
-3,31,1
-3,28,1
-3,25,1
-3,22,1
-3,19,1
-3,16,1
-3,13,1
-3,10,1
-3,7,1
-3,4,1
-3,1,1
-3,2,1
-3,5,1
-3,8,1
-3,11,1
-3,14,1
-3,17,1
-3,20,1
-3,23,1
-3,26,1
-3,29,0
-3,32,0
-3,35,0
-3,38,0
-3,41,0
-3,44,0
-3,47,0
-3,50,0
-3,700,0
-3,697,0
-3,694,0
-3,691,0
-3,688,0
-3,685,0
-3,682,0
-3,679,0
-3,676,0
-3,673,0
-3,670,0
-3,667,0
-3,664,0
-3,661,0
-3,658,0
-3,655,0
-3,652,0
-3,649,0
-3,646,0
-3,643,0
-3,640,0
-3,637,0
-3,634,0
-3,631,0
-3,628,0
-3,625,0
-3,622,0
-3,619,0
-3,616,0
-3,613,0
-3,610,0
-3,607,0
-3,604,0
-3,601,1
-3,598,1
-3,595,1
-3,592,1
-3,589,1
-3,586,1
-3,583,1
-3,580,1
-3,577,1
-3,574,1
-3,571,1
-3,568,1
-3,565,1
-3,562,1
-3,559,1
-3,556,1
-3,553,1
-3,550,1
-3,547,1
-3,544,1
-3,541,1
-3,538,1
-3,535,1
-3,532,1
-3,529,1
-3,526,1
-3,523,1
-3,520,1
-3,517,1
-3,514,1
-3,511,1
-3,508,0
-3,505,0
-3,502,1
-3,499,1
-3,496,1
-3,493,1
-3,490,1
-3,487,1
-3,484,1
-3,481,1
-3,478,1
-3,475,1
-3,472,1
-3,469,1
-3,466,1
-3,463,1
-3,460,1
-3,457,1
-3,454,1
-3,451,1
-3,448,1
-3,445,1
-3,442,1
-3,439,1
-3,436,1
-3,433,1
-3,430,1
-3,427,1
-3,424,1
-3,421,1
-3,418,1
-3,415,1
-3,412,1
-3,409,0
-3,406,0
-3,403,1
-3,400,1
-3,397,1
-3,394,1
-3,391,1
-3,388,1
-3,385,1
-3,382,1
-3,379,1
-3,376,1
-3,373,1
-3,370,1
-3,367,1
-3,364,1
-3,361,1
-3,358,1
-3,355,1
-3,352,1
-3,349,1
-3,346,1
-3,343,1
-3,340,1
-3,337,1
-3,334,1
-3,331,1
-3,328,1
-3,325,1
-3,322,1
-3,319,1
-3,316,1
-3,313,1
-3,310,0
-3,307,0
-3,304,0
-3,301,1
-3,298,1
-3,295,1
-3,292,1
-3,289,1
-3,286,1
-3,283,1
-3,280,1
-3,277,1
-3,274,1
-3,271,1
-3,268,1
-3,265,1
-3,262,1
-3,259,1
-3,256,1
-3,253,1
-3,250,1
-3,247,1
-3,244,1
-3,241,1
-3,238,1
-3,235,1
-3,232,1
-3,229,1
-3,226,1
-3,223,1
-3,220,1
-3,217,1
-3,214,1
-3,211,1
-3,208,0
-3,205,0
-3,202,0
-3,199,1
-3,196,1
-3,193,1
-3,190,1
-3,187,1
-3,184,1
-3,181,1
-3,178,1
-3,175,1
-3,172,1
-3,169,1
-3,166,1
-3,163,1
-3,160,1
-3,157,1
-3,154,1
-3,151,1
-3,148,1
-3,145,1
-3,142,1
-3,139,1
-3,136,1
-3,133,1
-3,130,1
-3,127,1
-3,124,1
-3,121,1
-3,118,1
-3,115,1
-3,112,1
-3,109,1
-3,106,0
-3,103,0
-3,100,0
-3,97,0
-3,94,0
-3,91,0
-3,88,0
-3,85,0
-3,82,0
-3,79,0
-3,76,0
-3,73,0
-3,70,0
-3,67,0
-3,64,0
-3,61,0
-3,58,0
-3,55,0
-3,52,0
-3,49,1
-3,46,1
-3,43,1
-3,40,1
-3,37,1
-3,34,1
-3,31,1
-3,28,1
-3,25,1
-3,22,1
-3,19,1
-3,16,1
-3,13,1
-3,10,1
-3,7,1
